Gender,Total,1+ per year,1+ per month,1+ per fortnight,1+ per week,2+ per week,3+ per week,4+ per week,5+ per week,6+ per week,7+ per week
All,Total,87.5%,82.8%,78.7%,70.5%,60.9%,51.7%,42.5%,35.5%,27.2%,21.1%
Age group, 15-17,86.9%,80.0%,75.9%,66.6%,56.4%,47.3%,40.3%,36.5%,31.8%,25.7%
, 18-24,87.8%,82.0%,77.7%,68.6%,57.8%,46.8%,38.9%,32.1%,25.4%,19.5%
, 25-34,90.8%,85.8%,80.4%,71.9%,62.0%,52.9%,42.9%,34.6%,26.4%,21.6%
, 35-44,89.1%,83.8%,78.7%,69.9%,59.1%,48.4%,38.2%,31.6%,24.4%,19.3%
, 45-54,90.9%,86.2%,82.2%,74.1%,64.6%,55.5%,46.4%,38.8%,29.7%,22.1%
, 55-64,89.3%,86.2%,83.2%,76.4%,67.4%,60.0%,50.4%,42.8%,32.1%,24.8%
, 65+,79.1%,75.6%,72.8%,65.4%,57.4%,49.0%,40.6%,34.6%,25.6%,18.8%
,,,,,,,,,,,
Males,Total,88.5%,84.1%,79.7%,71.1%,60.6%,51.2%,41.8%,34.8%,26.5%,20.4%
Age group, 15-17,86.1%,80.3%,77.3%,68.9%,59.6%,51.1%,43.9%,40.7%,34.5%,31.2%
, 18-24,88.2%,82.3%,78.5%,68.8%,55.8%,45.1%,37.2%,29.5%,23.5%,18.4%
, 25-34,91.8%,87.2%,81.3%,70.7%,59.9%,51.2%,39.8%,31.6%,23.6%,18.6%
, 35-44,90.2%,85.4%,79.5%,70.6%,58.8%,47.9%,36.5%,29.6%,23.3%,18.3%
, 45-54,92.3%,87.0%,82.5%,73.7%,63.8%,54.3%,45.7%,39.0%,29.1%,22.1%
, 55-64,88.3%,85.3%,81.6%,75.7%,65.7%,57.1%,48.7%,41.7%,31.2%,24.9%
, 65+,81.3%,78.5%,76.1%,69.1%,60.4%,52.0%,43.5%,36.9%,27.3%,18.8%
,,,,,,,,,,,
Females,Total,86.7%,81.8%,77.9%,70.1%,61.4%,52.3%,43.3%,36.3%,28.0%,21.8%
Age group, 15-17,88.4%,80.4%,75.5%,65.2%,54.1%,44.5%,37.6%,33.2%,29.7%,21.2%
, 18-24,87.5%,82.0%,77.2%,68.9%,60.5%,49.1%,41.0%,35.3%,27.8%,21.2%
, 25-34,89.8%,84.3%,79.5%,73.0%,63.8%,54.6%,45.7%,37.4%,29.2%,24.7%
, 35-44,88.1%,82.2%,77.8%,69.2%,59.4%,48.8%,39.7%,33.3%,25.3%,20.3%
, 45-54,89.5%,85.6%,82.1%,74.6%,65.6%,56.7%,47.3%,38.8%,30.1%,22.2%
, 55-64,90.4%,87.3%,84.9%,77.2%,69.2%,63.0%,52.1%,43.8%,33.1%,24.6%
, 65+,77.8%,73.6%,70.4%,62.6%,55.3%,46.7%,38.4%,32.8%,24.3%,19.0%
