Sport,Age,Rate
Australian football,15-17,9.8%
Australian football,18-24,8.7%
Australian football,25-34,7.4%
Australian football,35-44,3.5%
Australian football,45-54,1.8%
Australian football,55-64,0.8%
Australian football,65+,0.1%
,,
Basketball,15-17,18.2%
Basketball,18-24,13.2%
Basketball,25-34,8.0%
Basketball,35-44,5.3%
Basketball,45-54,3.7%
Basketball,55-64,1.1%
Basketball,65+,0.3%
,,
Cricket,15-17,5.1%
Cricket,18-24,5.4%
Cricket,25-34,4.3%
Cricket,35-44,3.2%
Cricket,45-54,2.2%
Cricket,55-64,0.9%
Cricket,65+,0.4%
,,
Netball,15-17,8.7%
Netball,18-24,5.5%
Netball,25-34,3.1%
Netball,35-44,2.1%
Netball,45-54,1.6%
Netball,55-64,0.2%
Netball,65+,0.2%
,,
Football/soccer,15-17,13.1%
Football/soccer,18-24,11.2%
Football/soccer,25-34,8.3%
Football/soccer,35-44,5.7%
Football/soccer,45-54,2.4%
Football/soccer,55-64,0.9%
Football/soccer,65+,0.1%
,,
Tennis,15-17,7.7%
Tennis,18-24,7.2%
Tennis,25-34,6.8%
Tennis,35-44,6.5%
Tennis,45-54,6.1%
Tennis,55-64,2.4%
Tennis,65+,1.6%
